,Naive,std_naive,Unbiased,std_unbiased,LPC-optimized,std_optimized
book,72.69,0.11,71.66,0.25,76.36,0.21
dvd,73.75,0.42,72.24,0.3,77.43,0.04
elec,78.22,0.05,77.22,0.09,81.57,0.12
kitchen,79.64,0.07,78.62,0.05,82.17,0.06
